Listing ID,Listing Name,Property Type,Room Type,Host ID,Host Name,Is Superhost,Latitude,Longitude,Max Guests,Bedrooms,Beds,Bathrooms,Is Instant Bookable,Cancellation Policy,Cleaning Fee,Extra Guest Fee,Number of Reviews,Overall Rating,Location Rating,Value Rating,TTM Avg Daily Rate,TTM Occupancy Rate,L90D Avg Daily Rate,L90D Occupancy Rate,Price Per Guest,City Category
465397,Anahit Stepanyan's B&B,private room in condo,private_room,2312035,Vahan,TRUE,40.1853,44.5165,NA,NA,2,0,FALSE,strict,0,17,122,4.97,5,4.9,35.7,0.003,38,0.003,35.7,Yerevan Area
642058,"Unique, Quiet Artistic Apartment Across from Opera",entire rental unit,entire_home,3208296,Adrineh,FALSE,40.1855,44.5173,4,1,2,1,FALSE,moderate,0,0,17,5,5,4.8,60.6,0.001,60.7,0.001,15.15,Yerevan Area
1178459,"Sunny, central, spectacular views",entire rental unit,entire_home,6447888,Pegor,FALSE,40.1877,44.5138,4,2,3,2,NA,strict,18,NA,23,4.91,5,5,125.1,0.001,125.6,0,31.275,Yerevan Area
1538163,A comfortable flat in the downtown,entire rental unit,entire_home,8201269,Anush,FALSE,40.1848,44.5198,5,2,4,1,FALSE,strict,30,0,28,4.93,4.9,4.9,70.3,0,70.2,0.001,14.059999999999999,Yerevan Area
1659338,Abovyan 26 street`Superior room`,entire rental unit,entire_home,8793540,Вардан,FALSE,40.1848,44.5194,2,1,2,1,FALSE,strict,17,0,115,4.92,5,4.9,63,0.002,53.7,0.002,31.5,Yerevan Area
1756704,Best choice in the heart of Yerevan,entire rental unit,entire_home,9237968,Levon,FALSE,40.1802,44.5092,2,NA,1,1,TRUE,moderate,10,0,109,4.94,5,4.9,46.8,0.002,52.1,0.002,23.4,Yerevan Area
1813101,2-bedroom on the 19 Tumanyan str,entire rental unit,entire_home,9497368,Armen,FALSE,40.1827,44.5167,6,2,3,1,FALSE,flexible,0,0,25,4.64,4.7,4.8,75.8,0.002,82.4,0.002,12.633333333333333,Yerevan Area
1816460,Modern Apartment in the Amiryan str,entire rental unit,entire_home,9497368,Armen,FALSE,40.1797,44.5095,3,1,1,1,FALSE,moderate,0,0,17,4.76,4.9,4.9,74.8,0.001,79.5,0.001,24.933333333333334,Yerevan Area
1850353,"Spacious,bright apartment with 2 bedrooms, center",entire rental unit,entire_home,9663865,Armen,TRUE,40.1787,44.5191,4,2,4,1.5,TRUE,moderate,0,0,228,4.93,5,4.9,55.5,0.006999999999999999,57.9,0.006999999999999999,13.875,Yerevan Area
2045257,Rent room,entire home,entire_home,10486214,Sargis,FALSE,40.1908,44.5134,4,2,4,2,FALSE,flexible,13,0,2,NA,NA,NA,56.6,0,57.2,0.001,14.15,Yerevan Area
