price,condition,district,max_floor,street,num_rooms,region,area,num_bathrooms,building_type,floor,ceiling_height
100000.0,newly repaired,Arabkir,6,Kievyan St,3,Yerevan,96.0,1,stone,4,3.0
52000.0,good,Arabkir,14,Mamikoniants St,3,Yerevan,78.0,1,panel,10,2.8
52000.0,newly repaired,Qanaqer-Zeytun,9,M. Melikyan St,3,Yerevan,97.0,1,panel,1,2.8
130000.0,good,Center,4,Spendiaryan St,3,Yerevan,80.0,1,stone,2,3.2
81600.0,zero condition,Center,9,Ler. Kamsar St,3,Yerevan,107.0,1,monolit,9,3.0
123000.0,newly repaired,Center,5,Nalbandyan St,2,Yerevan,64.0,1,stone,2,3.0
40800.0,newly repaired,Malatia-Sebastia,9,Z.Andranik St,3,Yerevan,73.0,1,panel,2,2.8
47000.0,zero condition,Center,9,E. Qochar St,3,Yerevan,75.0,1,panel,2,2.8
90000.0,good,Center,4,D. Demirchyan St,3,Yerevan,90.0,1,stone,2,3.2
82000.0,newly repaired,Center,7,Heratsi St,3,Yerevan,94.0,1,monolit,7,2.8
63000.0,newly repaired,Arabkir,9,Azatutyan Ave,3,Yerevan,92.0,1,panel,9,2.8
170000.0,newly repaired,Arabkir,11,Hovsep Emin St,3,Yerevan,96.0,1,monolit,6,3.2
80000.0,newly repaired,Qanaqer-Zeytun,10,Nersisyan St,3,Yerevan,85.0,2,monolit,4,3.0
41000.0,good,Center,5,Nalbandyan St,1,Yerevan,40.0,1,stone,3,2.8
169000.0,newly repaired,Davtashen,14,Sasna tsrer St,4,Yerevan,111.0,1,monolit,4,3.0
77000.0,zero condition,Arabkir,14,Gyulbenkyan St,3,Yerevan,79.0,1,monolit,3,3.0
110000.0,newly repaired,Center,14,Argishti St,4,Yerevan,112.0,2,monolit,8,3.0
175000.0,newly repaired,Avan,4,Tsarav Aghbyur St,3,Yerevan,100.0,1,monolit,3,3.0
90000.0,newly repaired,Qanaqer-Zeytun,6,Davit Anhaxt St,3,Yerevan,80.0,1,stone,2,3.0
80000.0,newly repaired,Center,9,Bryusov St,3,Yerevan,83.0,1,panel,3,2.8
150000.0,newly repaired,Center,5,Sayat Nova Ave,3,Yerevan,109.0,1,stone,3,2.8
88000.0,newly repaired,Center,5,Tumanyan St,2,Yerevan,70.0,2,stone,4,3.0
139000.0,newly repaired,Arabkir,13,Hambardzumyan St,3,Yerevan,111.0,1,monolit,6,3.0
210000.0,zero condition,Center,6,Abovyan St,3,Yerevan,100.0,1,stone,5,3.2
92000.0,newly repaired,Arabkir,14,Griboedov St,3,Yerevan,78.0,1,monolit,7,3.0
67000.0,newly repaired,Arabkir,6,Arabkir 29 dead end,3,Yerevan,77.0,1,stone,5,2.8
92000.0,good,Center,11,Koghbatsi St,3,Yerevan,94.0,1,panel,10,2.8
160000.0,good,Center,5,Mashtots Ave,3,Yerevan,100.0,1,stone,1,2.8
85000.0,newly repaired,Center,16,Saryan St,2,Yerevan,60.0,1,panel,4,2.8
40000.0,good,Arabkir,4,Arabkir 39 St,2,Yerevan,53.0,1,stone,2,2.8
57000.0,good,Center,6,Tigran Mets Ave,2,Yerevan,64.0,1,stone,2,2.8
245000.0,newly repaired,Center,5,Nalbandyan St,4,Yerevan,145.0,2,stone,2,3.0
33500.0,good,Nor Norq,5,Moldovakan St,3,Yerevan,76.0,1,stone,1,2.8
37000.0,good,Center,14,Tigran Mets Ave,2,Yerevan,68.0,1,panel,12,2.8
58000.0,good,Center,5,Mashtots Ave,2,Yerevan,40.0,1,stone,3,2.8
37000.0,zero condition,Center,9,Tigran Mets Ave,1,Yerevan,42.0,1,panel,3,2.8
33000.0,good,Qanaqer-Zeytun,5,K. Ulnetsi St,1,Yerevan,41.0,1,stone,4,2.8
74000.0,newly repaired,Arabkir,9,Komitas Ave,3,Yerevan,80.0,1,other,6,2.8
130000.0,newly repaired,Arabkir,16,Kievyan St,3,Yerevan,100.0,1,monolit,9,3.0
31000.0,newly repaired,Achapnyak,12,Sisakyan St,1,Yerevan,42.0,1,monolit,9,2.8
59000.0,newly repaired,Center,7,Aygestan 9 St,2,Yerevan,52.0,1,stone,2,3.0
70000.0,zero condition,Center,5,Vardanants St,2,Yerevan,67.0,2,stone,2,3.0
67000.0,good,Arabkir,5,Baghramyan av(Arabkir),2,Yerevan,60.0,1,stone,3,2.8
32000.0,newly repaired,Shengavit,5,Bagratuniats 1 alley,2,Yerevan,38.0,1,stone,5,2.8
150000.0,newly repaired,Center,12,D. Demirchyan St,3,Yerevan,75.0,2,monolit,3,3.0
36500.0,newly repaired,Achapnyak,5,Lukashin St,2,Yerevan,51.0,1,other,3,2.8
72000.0,newly repaired,Arabkir,5,V.Papazyan St,2,Yerevan,58.0,1,other,4,2.8
65000.0,good,Center,3,Mashtots Ave,2,Yerevan,50.0,1,stone,1,2.8
220000.0,newly repaired,Center,5,Nalbandyan St,4,Yerevan,136.0,2,stone,4,3.2
93000.0,newly repaired,Achapnyak,13,Shinararner St,4,Yerevan,111.0,1,monolit,10,3.0
68000.0,newly repaired,Davtashen,14,Petrosyan St,3,Yerevan,83.0,1,panel,8,2.8
92000.0,newly repaired,Arabkir,12,Riga St,3,Yerevan,81.0,1,monolit,8,3.2
34000.0,good,Malatia-Sebastia,9,Raffi St,3,Yerevan,96.0,1,panel,9,2.8
130000.0,newly repaired,Center,5,Zakyan St,3,Yerevan,70.0,1,stone,2,2.8
37000.0,good,Shengavit,5,Arshakunyats Ave,2,Yerevan,55.0,1,monolit,5,2.8
68000.0,newly repaired,Avan,14,Tsarav Aghbyur St,2,Yerevan,85.0,1,monolit,5,2.8
130000.0,good,Avan,9,Tsarav Aghbyur St,1,Yerevan,118.0,1,other,2,2.8
55000.0,newly repaired,Center,10,Pushkin St,2,Yerevan,40.0,1,panel,9,2.8
129000.0,newly repaired,Center,15,Aram St,3,Yerevan,112.0,1,monolit,15,3.2
135000.0,zero condition,Center,5,Aghayan St,3,Yerevan,85.0,1,stone,2,3.2
42000.0,good,Avan,9,Avan-Arinj 1 micro,2,Yerevan,63.0,1,panel,5,2.8
87000.0,good,Center,5,Khanjyan St,2,Yerevan,70.0,2,stone,2,2.8
80000.0,newly repaired,Center,16,E. Qochar St,3,Yerevan,80.0,1,panel,2,2.8
82000.0,newly repaired,Center,4,Vardanants St,3,Yerevan,80.0,1,stone,3,3.2
95000.0,newly repaired,Arabkir,14,Griboedov St,3,Yerevan,82.0,2,monolit,8,3.0
79000.0,newly repaired,Davtashen,9,Davtashen 3 district,4,Yerevan,115.0,1,panel,3,2.8
150000.0,newly repaired,Center,4,Baghramyan Ave (Kentron),4,Yerevan,130.0,2,stone,4,3.0
100000.0,newly repaired,Arabkir,10,Mamikoniants St,3,Yerevan,96.0,1,panel,6,2.8
150000.0,good,Arabkir,16,Kievyan St,3,Yerevan,100.0,1,monolit,9,3.0
84000.0,zero condition,Center,6,D. Demirchyan St,2,Yerevan,60.0,2,monolit,3,3.0
110000.0,newly repaired,Center,10,NarDos St,4,Yerevan,92.0,1,panel,8,2.8
75000.0,newly repaired,Center,9,M.Khorenatsi St,3,Yerevan,91.0,1,panel,4,2.8
60000.0,good,Center,9,Kajaznuni St,2,Yerevan,72.0,2,panel,4,2.8
95000.0,newly repaired,Center,9,Teryan St,2,Yerevan,75.0,1,panel,3,2.8
45000.0,zero condition,Erebuni,10,Sari Tagh 7th st,2,Yerevan,106.0,1,monolit,5,3.2
45000.0,good,Center,16,Bryusov St,3,Yerevan,91.0,1,panel,14,2.8
68000.0,newly repaired,Center,9,E. Qochar St,3,Yerevan,80.0,1,panel,9,2.8
45000.0,zero condition,Arabkir,5,A. Khachatrian St,3,Yerevan,72.0,1,stone,1,2.8
72000.0,newly repaired,Qanaqer-Zeytun,9,K. Ulnetsi St,3,Yerevan,94.0,1,panel,3,3.0
85000.0,newly repaired,Center,22,Tsitsernakaberd Highway,2,Yerevan,60.0,1,monolit,10,2.8
105000.0,newly repaired,Arabkir,9,Hambardzumyan St,3,Yerevan,91.0,1,monolit,7,3.0
48000.0,good,Qanaqer-Zeytun,16,Rubinyants St,4,Yerevan,96.0,1,panel,14,2.8
45000.0,newly repaired,Arabkir,5,A. Avetisyan St,2,Yerevan,39.0,1,stone,2,2.8
220000.0,newly repaired,Center,4,Mashtots Ave,3,Yerevan,100.0,1,stone,2,2.8
44800.0,good,Malatia-Sebastia,14,Z.Andranik St,3,Yerevan,80.0,1,panel,14,2.8
74000.0,newly repaired,Davtashen,9,Davtashen 3 district,4,Yerevan,110.0,1,panel,3,2.8
65000.0,good,Nor Norq,2,Vilnyus St,4,Yerevan,116.0,1,stone,1,2.8
48000.0,newly repaired,Achapnyak,14,Shiraz St,4,Yerevan,109.0,2,panel,1,2.8
105000.0,good,Center,11,Zakyan St,3,Yerevan,93.0,1,panel,10,2.8
76500.0,zero condition,Center,10,Moskovyan St,3,Yerevan,90.0,1,stone,9,2.8
50000.0,newly repaired,Nor Norq,9,H. Avetisyan St,3,Yerevan,86.0,1,panel,1,2.8
42000.0,newly repaired,Shengavit,6,Bagratuniats Ave,2,Yerevan,57.0,1,stone,6,3.2
