Date,Year,Month,Company,Position,Position_Standardized,Salary_AMD,Experience_Years,Experience_Level,Salary_Category
2019-04-15T14:54:09Z,2019,4,International IT Company,IT Project Manager,Project Manager,700000,0,Entry Level (0 years),500K-1M
2019-04-15T14:54:55Z,2019,4,Not Specified,Team Leader,Team/Tech Lead,2500000,0,Entry Level (0 years),Above 2M
2019-04-15T14:55:12Z,2019,4,Not Specified,DevOps,DevOps/System Admin,1450000,0,Entry Level (0 years),1M-2M
2019-04-15T14:55:30Z,2019,4,Not Specified,Junior Java Developer,Software Engineer/Developer,600000,0,Entry Level (0 years),500K-1M
2019-04-15T14:56:39Z,2019,4,Not Specified,Senior Software Engineer,Software Engineer/Developer,1100000,0,Entry Level (0 years),1M-2M
2019-04-15T14:58:37Z,2019,4,Not Specified,Senior Software Engineer,Software Engineer/Developer,1300000,0,Entry Level (0 years),1M-2M
2019-04-15T15:04:58Z,2019,4,Not Specified,Somebody who does everything,Other,320000,0,Entry Level (0 years),200K-500K
2019-04-15T15:05:56Z,2019,4,Not Specified,Software engineer,Software Engineer/Developer,1100000,0,Entry Level (0 years),1M-2M
2019-04-15T15:07:52Z,2019,4,Not Specified,Product Manager,Product Manager/Owner,600000,0,Entry Level (0 years),500K-1M
2019-04-15T15:18:22Z,2019,4,Not Specified,UI/UX Designer,UI/UX Designer,1200000,0,Entry Level (0 years),1M-2M
2019-04-15T15:20:49Z,2019,4,Not Specified,iOS developer,Software Engineer/Developer,550000,0,Entry Level (0 years),500K-1M
2019-04-15T15:22:17Z,2019,4,IT/media startup,Global operations director,Other,1200000,0,Entry Level (0 years),1M-2M
2019-04-15T15:36:55Z,2019,4,Simply Technologies,Software Developer,Software Engineer/Developer,830000,0,Entry Level (0 years),500K-1M
2019-04-15T15:42:01Z,2019,4,Vineti,Senior DevOps Engineer,DevOps/System Admin,800000,0,Entry Level (0 years),500K-1M
2019-04-15T16:01:18Z,2019,4,Not Specified,Product Owner,Product Manager/Owner,700000,0,Entry Level (0 years),500K-1M
2019-04-15T16:01:33Z,2019,4,VMware,Member of Technical Staff 3,Other,1600000,0,Entry Level (0 years),1M-2M
2019-04-15T17:47:18Z,2019,4,SFL,Software Engineer,Software Engineer/Developer,800000,0,Entry Level (0 years),500K-1M
2019-04-15T17:48:04Z,2019,4,SFL,System Engineer/DevOps,DevOps/System Admin,1250000,0,Entry Level (0 years),1M-2M
2019-04-15T17:49:23Z,2019,4,Not Specified,Senior DBA,Other,1650000,0,Entry Level (0 years),1M-2M
