listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohosts,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
465397,Anahit Stepanyan's B&B,Private room in condo,private_room,https://a0.muscache.com/im/pictures/5466419/110cfc83_original.jpg,8,2312035,Vahan,"",true,40.1853,44.5165,,,2,0.0,false,"",false,1,Strict,AMD,0,17,122,4.97,4.8,4.9,4.8,4.9,5.0,4.9,3661.0,1423221.0,35.7,13939.6,0.3,0.0,10.0,3899.2,0.0,0.0,102,0,263,365,964.0,373547.0,38.0,14745.7,0.3,0.0,10.7,4150.5,0.0,0.0,25,0,65,90
642058,"Unique, Quiet Artistic Apartment Across from Opera",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjQyMDU4/original/59989ce3-7574-4565-a7ec-9fc5e3f403a8.jpeg,22,3208296,Adrineh,"",false,40.1855,44.5173,4,1,2,1.0,false,"",false,6,Moderate,AMD,0,0,17,5.0,5.0,4.9,4.9,5.0,5.0,4.8,3006.0,1175123.0,60.6,23677.9,0.1,0.2,8.2,3219.5,9.4,3683.8,50,46,315,365,738.0,283344.0,60.7,23589.1,0.1,0.0,8.2,3148.3,0.0,0.0,12,0,78,90
1178459,"Sunny, central, spectacular views",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/17720521/a6936760_original.jpg,23,6447888,Pegor,"",false,40.1877,44.5138,4,2,3,2.0,false,"",,1,Strict,AMD,18,,23,4.91,4.9,5.0,4.8,5.0,5.0,5.0,4502.0,1746505.0,125.1,48880.3,0.1,0.1,12.3,4784.9,14.6,5670.5,36,57,329,365,0.0,0.0,125.6,48774.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1538163,A comfortable flat in the downtown,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1538163/original/3dc9a7db-a21f-4588-8ed9-003b39b990af.jpeg,29,8201269,Anush,"",false,40.1848,44.5198,5,2,4,1.0,false,"",false,2,Strict,AMD,30,0,28,4.93,4.9,5.0,4.9,4.9,4.9,4.9,931.0,358302.0,70.3,27487.3,0.0,0.1,2.6,981.6,4.4,1690.1,13,153,352,365,856.0,328656.0,70.2,27265.9,0.1,0.0,9.5,3651.7,0.0,0.0,12,0,78,90
1659338,Abovyan 26 street`Superior room`,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/8db0fec3-c4c7-431e-a198-043760a3d4d8.jpg,76,8793540,Вардан,"",false,40.1848,44.5194,2,1,2,1.0,false,"",false,3,Strict,AMD,17,0,115,4.92,4.9,5.0,4.8,5.0,5.0,4.9,3521.0,1370943.0,63.0,24636.3,0.2,0.2,9.6,3756.0,12.1,4727.4,62,75,303,365,835.0,326188.0,53.7,20817.2,0.2,0.3,9.3,3624.3,12.1,4727.4,18,21,72,90
1756704,Best choice in the heart of Yerevan,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTc1NjcwNA%3D%3D/original/5026fe8b-6a9c-4c4e-aa7d-49757b67f4a4.jpeg,21,9237968,Levon,"",false,40.1802,44.5092,2,,1,1.0,false,"",true,2,Moderate,AMD,10,0,109,4.94,4.9,5.0,4.9,5.0,5.0,4.9,3250.0,1259164.0,46.8,18298.1,0.2,0.2,8.9,3449.8,11.6,4497.0,66,85,299,365,1097.0,424011.0,52.1,20228.2,0.2,0.3,12.2,4711.2,13.7,5300.1,21,10,69,90
1813101,2-bedroom on the 19 Tumanyan str,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/f1067499-026d-4ebc-80dc-40e1340ec6b8.jpg,37,9497368,Armen,"",false,40.1827,44.5167,6,2,3,1.0,false,"",false,10,Flexible,AMD,0,0,25,4.64,4.8,4.9,4.8,4.9,4.7,4.8,6686.0,2594488.0,75.8,29600.2,0.2,0.2,18.3,7108.2,18.6,7227.0,87,6,278,365,1429.0,554885.0,82.4,31982.4,0.2,0.0,15.9,6165.4,0.0,0.0,18,0,72,90
1816460,Modern Apartment in the Amiryan str,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1816460/original/8e328ebb-b8f1-4ced-baa4-9a1ff70e6abe.jpeg,16,9497368,Armen,"",false,40.1797,44.5095,3,1,1,1.0,false,"",false,5,Moderate,AMD,0,0,17,4.76,4.8,4.8,4.7,5.0,4.9,4.9,1835.0,711050.0,74.8,29221.4,0.1,0.1,5.0,1948.1,6.6,2539.5,24,85,341,365,893.0,345502.0,79.5,30872.5,0.1,0.0,9.9,3838.9,0.0,0.0,11,0,79,90
1850353,"Spacious,bright apartment with 2 bedrooms, center",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1850353/original/4b412168-6ef3-4eb1-9ffe-9d86e66187b0.jpeg,26,9663865,Armen,263816602:Gevorg,true,40.1787,44.5191,4,2,4,1.5,false,"",true,2,Moderate,AMD,0,0,228,4.93,5.0,5.0,4.8,5.0,5.0,4.9,15296.0,5969600.0,55.5,21663.4,0.7,0.0,41.9,16355.1,0.0,0.0,273,0,92,365,3875.0,1505334.0,57.9,22501.4,0.7,0.0,43.1,16725.9,0.0,0.0,67,0,23,90
2045257,Rent room,Entire home,entire_home,https://a0.muscache.com/im/pictures/28010179/38ae99a5_original.jpg,7,10486214,Sargis,"",false,40.1908,44.5134,4,2,4,2.0,false,"",false,3,Flexible,AMD,13,0,2,,,,,,,,701.0,269143.0,56.6,22102.3,0.0,0.0,1.9,737.4,2.1,808.2,12,32,353,365,701.0,269143.0,57.2,22229.2,0.1,0.0,7.8,2990.5,0.0,0.0,12,0,78,90
2136391,Great Apartment ARAGATS in Yerevan Downtown,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/087c2d86-d261-4b85-a0c4-b98aafb72a34.jpg,12,10902986,Levon,"",false,40.1979,44.4961,4,2,3,1.0,false,"",false,7,Strict,AMD,40,0,16,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4775.0,1859252.0,53.1,20743.3,0.3,0.3,13.1,5093.8,14.0,5452.4,92,24,273,365,985.0,381633.0,64.6,25072.8,0.2,0.2,10.9,4240.4,14.9,5782.3,15,24,75,90
2137043,"4-person apartment, terrace overlooking Mount ARARAT",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/29627511/b4697752_original.jpg,8,10902986,Levon,"",false,40.1980,44.4961,4,2,3,1.0,false,"",false,7,Strict,AMD,34,0,1,,,,,,,,645.0,247644.0,51.0,19926.4,0.0,0.0,1.8,678.5,2.6,1010.8,12,120,353,365,645.0,247644.0,52.5,20377.1,0.1,0.0,7.2,2751.6,0.0,0.0,12,0,78,90
2376209,Sunny Apartment in Central Yerevan,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/31653813/af074414_original.jpg,12,12140607,Armen,"",false,40.1874,44.5167,4,2,3,1.0,false,"",false,3,Flexible,AMD,35,0,33,4.85,4.9,5.0,4.9,5.0,4.9,4.7,2838.0,1100255.0,90.5,35365.5,0.1,0.1,7.8,3014.4,8.5,3304.1,31,32,334,365,0.0,0.0,90.8,35253.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2676600,Cosy apartment in the city-center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/43a6fbae-102e-42ae-aa96-d325789db793.jpg,10,10434635,Astghik,"",true,40.1866,44.5252,2,,1,1.0,false,"",false,2,Flexible,AMD,15,0,99,4.86,4.9,5.0,4.8,5.0,4.9,4.9,3230.0,1254205.0,35.4,13835.8,0.2,0.3,8.8,3436.2,9.6,3721.7,86,28,279,365,275.0,107554.0,38.6,14986.6,0.1,0.1,3.1,1195.0,4.4,1734.7,6,28,84,90
2786327,4 bedrooms - Yerevan city - Small center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/f1a4332e-8f58-4c15-8a52-79fa99f29a1f.jpg,34,14254380,Lucine,"",false,40.1849,44.5104,10,4,7,3.0,false,"",false,1,Flexible,AMD,18,0,80,4.71,4.7,4.8,4.6,4.9,5.0,4.7,22239.0,8656417.0,166.4,64977.5,0.4,0.4,60.9,23716.2,69.1,26883.3,129,43,236,365,1603.0,626168.0,172.6,66985.1,0.1,0.2,17.8,6957.4,34.1,13322.7,10,43,80,90
